epsilon,accuracy,ssim
0.004,96.96969696969697,0.9999164350383752
0.004,96.96969696969697,0.9998544131156586
0.004,93.93939393939394,0.9999102099456709
0.004,100.0,0.9999222277221754
0.004,100.0,0.9998680788295653
0.005,93.93939393939394,0.9997963544017049
0.005,93.93939393939394,0.9998953686632154
0.005,93.93939393939394,0.9998544111077785
0.005,96.96969696969697,0.9998585825839839
0.005,96.96969696969697,0.9998059820043415
0.006,100.0,0.999665904832125
0.006,93.93939393939394,0.9994824514543617
0.006,100.0,0.9995888014060749
0.006,96.96969696969697,0.99942043316031
0.006,96.96969696969697,0.9996768196099739
0.007,96.96969696969697,0.9997326704144777
0.007,100.0,0.9997998464838967
0.007,93.93939393939394,0.999717537034607
0.007,93.93939393939394,0.9997876847903785
0.007,93.93939393939394,0.9995699264837193
0.01,96.96969696969697,0.9993272658061592
0.01,100.0,0.9990522135486595
0.01,93.93939393939394,0.9993832638058723
0.01,100.0,0.9989000483447628
0.01,96.96969696969697,0.9994902997378853
0.02,93.93939393939394,0.9959417975460945
0.02,93.93939393939394,0.9965726345257503
0.02,93.93939393939394,0.9964391422116678
0.02,90.9090909090909,0.9981102695894596
0.02,90.9090909090909,0.9971998773574688
0.03,87.87878787878788,0.9902017101074685
0.03,90.9090909090909,0.989090699290293
0.03,90.9090909090909,0.9852675027322795
0.03,93.93939393939394,0.9928381185674163
0.03,96.96969696969697,0.9943657927412264
0.5,12.121212121212121,0.19588283972393292
0.5,9.090909090909092,0.17758881164118978
0.5,9.090909090909092,0.20915619973855926
0.5,12.121212121212121,0.1825791695510667
0.5,6.0606060606060606,0.18232178348568628
1,15.151515151515152,0.0884212295342303
1,12.121212121212121,0.06363908484084807
1,3.0303030303030303,0.05609801051795761
1,6.0606060606060606,0.06155175089252379
1,6.0606060606060606,0.0596340085684091
