max_iterations,accuracy,ssim
0,100,1
1,60.0,0.8143543379818045
1,61.0,0.8389759151936861
1,61.0,0.8474674210245107
1,63.0,0.8755742588160592
1,57.0,0.8634092214022168
2,60.0,0.8312635416464585
2,62.0,0.9010740056283495
2,60.0,0.8203592071850675
2,63.0,0.8678702349712072
2,58.0,0.866560176383544
3,61.0,0.9032807094325873
3,60.0,0.8484414143672543
3,59.0,0.8574052686167011
3,63.0,0.8590481947675285
3,59.0,0.8550827172202595
5,64.0,0.8513666480439218
5,57.0,0.8955139498118294
5,61.0,0.8570699689749516
5,62.0,0.8418875986564801
5,62.0,0.8365542527970746
10,57.0,0.8485567433724863
10,64.0,0.8557636038553132
10,59.0,0.8744513560309105
10,66.0,0.84997661934499
10,60.0,0.8343831820127365
15,59.0,0.8470221413888541
15,60.0,0.8647564915632866
15,62.0,0.8986129026677855
15,60.0,0.821052364109241
15,58.0,0.8447464594328
20,55.0,0.880009397104307
20,60.0,0.8576005858607694
20,62.0,0.8893724768465994
20,57.0,0.8897314574697793
20,55.0,0.8816213551162774
25,58.0,0.8570601299681189
25,61.0,0.84569146874602
25,53.0,0.8300302813069766
25,60.0,0.8708879247606396
25,54.0,0.8382979339667574
50,57.0,0.8781613202890769
50,52.0,0.8959231528490335
50,52.0,0.836850258196997
50,51.0,0.8489201603164569
50,55.0,0.8690438470156423
100,54.0,0.8736363578529961
100,51.0,0.8576586092866219
100,51.0,0.9013544967347744
100,49.0,0.8865753409758913
100,55.0,0.8922816225903085
