epsilon,accuracy,ssim
0.0002,0.90999997,0.9999988940416721
0.0002,0.86,0.9999988917163758
0.0002,0.90999997,0.9999988919384369
0.0002,0.90999997,0.9999988918357392
0.0002,0.91999996,0.9999989090433127
0.0004,0.85,0.9999955688172599
0.0004,0.85999995,0.9999955653202548
0.0004,0.87,0.9999955645907883
0.0004,0.83000004,0.9999955645713869
0.0004,0.84,0.9999955650251909
0.0008,0.71999997,0.9999834667814268
0.0008,0.71999997,0.9999835717394285
0.0008,0.73999995,0.9999822780938571
0.0008,0.71,0.9999830022771186
0.0008,0.7099999,0.9999832086533033
0.0016,0.58,0.9999329118385647
0.0016,0.57,0.9999368118117052
0.0016,0.58,0.9999300483497316
0.0016,0.56,0.9999344269834743
0.0016,0.56,0.9999351946996174
0.0032,0.5,0.9997457390626245
0.0032,0.52000004,0.9997440757048516
0.0032,0.48999995,0.9997456052125034
0.0032,0.51,0.9997452738341355
0.0032,0.49,0.9997450566443554
0.0064,0.46999997,0.9990666107365694
0.0064,0.44,0.9990600585471938
0.0064,0.45,0.999062068515524
0.0064,0.44,0.9991030799702143
0.0064,0.46999997,0.9989863192618564
0.0128,0.42,0.9967575889897098
0.0128,0.45,0.9963698524406045
0.0128,0.45,0.9965175355530984
0.0128,0.45999998,0.996869578293088
0.0128,0.42,0.9967762819187621
0.0256,0.45999998,0.9902605527881816
0.0256,0.46999997,0.988585845420533
0.0256,0.43,0.9872491876949766
0.0256,0.46999997,0.9881611482726751
0.0256,0.44,0.9886686656643471
0.0512,0.48000002,0.9641627752986809
0.0512,0.45999998,0.9638315006783325
0.0512,0.45999998,0.9642303914017848
0.0512,0.47000003,0.9646403498819373
0.0512,0.45999998,0.9682090531580801
0.1024,0.4,0.8998359756262279
0.1024,0.4,0.8919842351160145
0.1024,0.41,0.9065824024857239
0.1024,0.38000003,0.9076049042507842
0.1024,0.4,0.9191701345093277
