epsilon,accuracy,ssim
0.001,50.0,0.9999694156107004
0.001,47.0,0.999969426993724
0.001,52.0,0.9999694582045393
0.001,49.0,0.9999694235072984
0.001,46.0,0.9999694425697333
0.0025,44.0,0.9998091805198559
0.0025,41.0,0.9998087719981438
0.0025,44.0,0.9998090954093349
0.0025,48.0,0.9998089884373037
0.0025,37.0,0.9998091199701372
0.005,30.0,0.9992367117724609
0.005,37.0,0.9992367098575782
0.005,41.0,0.9992378841997793
0.005,33.0,0.9992381352368955
0.005,33.0,0.9992364762626955
0.0075,25.0,0.9982862580432295
0.0075,25.0,0.9982830801990105
0.0075,24.0,0.9982855315661915
0.0075,33.0,0.998284879383849
0.0075,27.0,0.9982864943161207
0.01,28.0,0.996957405532797
0.01,22.0,0.9969573793109896
0.01,23.0,0.9969566366532409
0.01,34.0,0.9969635698098707
0.01,24.0,0.996961051113584
0.05,20.0,0.9316443587715201
0.05,21.0,0.9316030555040488
0.05,15.0,0.9316035404517452
0.05,19.0,0.9316506283684708
0.05,23.0,0.931661319203424
0.1,23.0,0.7853630686755161
0.1,12.0,0.7852188502189144
0.1,16.0,0.7853291043260345
0.1,16.0,0.785395039939627
0.1,15.0,0.7856296274514347
0.5,9.0,0.1789629689532956
0.5,3.0,0.1789261427165756
0.5,8.0,0.17898369332010017
0.5,3.0,0.17875788207243418
0.5,10.0,0.17892005871959774
1,6.0,0.0585399413219713
1,7.0,0.05870332451941065
1,6.0,0.05859204909711263
1,5.0,0.058787580898864836
1,5.0,0.058716915447903875
