epsilon,accuracy,ssim
0.004,92.0,0.9998313200110918
0.004,92.0,0.9998939340146962
0.004,93.0,0.9998934820885081
0.004,94.0,0.9998861231793613
0.004,94.0,0.9998540820954913
0.005,92.0,0.9998645313464799
0.005,93.0,0.999858159052733
0.005,94.0,0.9999085235463105
0.005,93.0,0.9998385143135892
0.005,92.0,0.9997280563804838
0.006,91.0,0.999788242183363
0.006,93.0,0.9997784626420876
0.006,91.0,0.9996572276225593
0.006,92.0,0.9997786164262712
0.006,93.0,0.9996879788980924
0.007,93.0,0.999496880205227
0.007,91.0,0.9996761188701054
0.007,94.0,0.9997204400247617
0.007,92.0,0.9996685810533478
0.007,93.0,0.9997863912258123
0.01,94.0,0.9989251222266115
0.01,95.0,0.9994258603307354
0.01,92.0,0.9994145061999514
0.01,93.0,0.9994576868745785
0.01,93.0,0.9993915947373366
0.02,93.0,0.9964974465174665
0.02,92.0,0.9976879554638632
0.02,93.0,0.9975003271239119
0.02,92.0,0.99785646301449
0.02,94.0,0.9965001316992254
0.03,93.0,0.9933313209585893
0.03,92.0,0.9926949708713038
0.03,95.0,0.9950958091371576
0.03,91.0,0.9929061874354606
0.03,91.0,0.9940926156006309
0.5,25.0,0.27039518781340466
0.5,29.0,0.2708001260281455
0.5,25.0,0.2152216497035162
0.5,31.0,0.23860571011172088
0.5,28.0,0.29400414798016006
1,10.0,0.06983148340889722
1,11.0,0.06521917385554744
1,15.0,0.06606316034152729
1,12.0,0.06775008464427278
1,12.0,0.15234691627071875
