epsilon,accuracy,ssim
0.001,97.0,0.9999272934524814
0.001,95.0,0.9999272781898343
0.001,91.0,0.9999273482532083
0.001,97.0,0.9999272063879321
0.001,97.0,0.9999271369025337
0.0025,83.0,0.9995456285129926
0.0025,88.0,0.9995457392538226
0.0025,86.0,0.9995461867615948
0.0025,80.0,0.999546168724898
0.0025,86.0,0.9995457295077909
0.005,75.0,0.9981908772349344
0.005,77.0,0.998188169864393
0.005,75.0,0.9981911320667706
0.005,79.0,0.9981910536182459
0.005,77.0,0.9981891737463368
0.0075,69.0,0.9959509871317358
0.0075,70.0,0.9959468174759065
0.0075,76.0,0.9959435913404502
0.0075,70.0,0.9959484330399515
0.0075,70.0,0.995948912832232
0.01,66.0,0.9928432609960636
0.01,68.0,0.9928467354157074
0.01,68.0,0.9928512549722779
0.01,64.0,0.992850944084491
0.01,65.0,0.9928434455520943
0.05,58.0,0.8662267496689189
0.05,61.0,0.8662534958213914
0.05,58.0,0.8662598639494771
0.05,64.0,0.86610698536215
0.05,61.0,0.8661622382739885
0.1,59.0,0.6749279771473453
0.1,60.0,0.6746762886320473
0.1,63.0,0.6747846522151892
0.1,63.0,0.6746745124338965
0.1,63.0,0.67488225790915
0.5,40.0,0.189904358626296
0.5,37.0,0.18979296056821543
0.5,36.0,0.18981794054822113
0.5,39.0,0.18987521601372673
0.5,43.0,0.1897676999425711
1,23.0,0.07658158261805934
1,22.0,0.0765407664595054
1,21.0,0.07657424932088014
1,26.0,0.07653945544308134
1,25.0,0.07662142934246877
