epsilon,accuracy,ssim
0.0002,0.96999997,0.9999975399641723
0.0002,0.94000006,0.9999975381852331
0.0002,0.95,0.9999975628907105
0.0002,0.96999997,0.9999975576636386
0.0002,0.94000006,0.9999975785787985
0.0004,0.91999996,0.999990196187925
0.0004,0.92999995,0.9999901147663209
0.0004,0.94000006,0.999990381540143
0.0004,0.95,0.9999901459028727
0.0004,0.92999995,0.9999902988517343
0.0008,0.91999996,0.9999617639938313
0.0008,0.89,0.9999606908636821
0.0008,0.88,0.9999616129737603
0.0008,0.88,0.9999620978624331
0.0008,0.91999996,0.999962524531318
0.0016,0.81000006,0.9998425706269133
0.0016,0.81000006,0.9998527805154648
0.0016,0.81000006,0.9998518885291251
0.0016,0.84,0.999848825220828
0.0016,0.81000006,0.9998525646238738
0.0032,0.77,0.9994145912895631
0.0032,0.81000006,0.9994126661221614
0.0032,0.73,0.9994021236189111
0.0032,0.76,0.9994127119436129
0.0032,0.72,0.9994119903512416
0.0064,0.65999997,0.9976657647598772
0.0064,0.72,0.9976681468053622
0.0064,0.71,0.9976613360296657
0.0064,0.69000006,0.997669072307346
0.0064,0.67999995,0.9977012383479869
0.0128,0.66999996,0.9914147203881066
0.0128,0.70000005,0.990831564829864
0.0128,0.67999995,0.9908490190284753
0.0128,0.69000006,0.9908308610493146
0.0128,0.65,0.991503425109807
0.0256,0.64,0.9673403684946484
0.0256,0.65,0.9680326458976316
0.0256,0.65999997,0.9679370598733084
0.0256,0.65,0.970819770495256
0.0256,0.64,0.9681855419302806
0.0512,0.62,0.9091786824462087
0.0512,0.6,0.9045348152497249
0.0512,0.59,0.9050670229111006
0.0512,0.63,0.9018312467608036
0.0512,0.57,0.8999299153401383
0.1024,0.5,0.7794529771985648
0.1024,0.52000004,0.7814388534697587
0.1024,0.48000002,0.7711756292716039
0.1024,0.52,0.8133272097494146
0.1024,0.47999996,0.7882763650939629
