max_iterations,accuracy,ssim
1,85.0,0.8325899410032918
1,91.0,0.8206305107301384
1,87.0,0.7983598890165775
1,87.0,0.7657164146299594
1,87.0,0.798022556338559
2,88.0,0.8016412437174489
2,91.0,0.7931105704057427
2,91.0,0.7049839970306988
2,89.0,0.7544757945788226
2,89.0,0.7346323403051641
3,88.0,0.7438392165105762
3,89.0,0.8291216338025228
3,89.0,0.8563536065458107
3,93.0,0.7686142667761483
3,89.0,0.7626538226039596
5,89.0,0.806993486991658
5,90.0,0.807358936490321
5,90.0,0.8170324863438362
5,91.0,0.8542048695981798
5,88.0,0.8044317355230364
10,90.0,0.8444589671378788
10,90.0,0.7959737185292657
10,89.0,0.7858099034292934
10,91.0,0.7945936409850851
10,86.0,0.749479421763803
15,90.0,0.7963182962566124
15,89.0,0.8022679215201783
15,90.0,0.8494042443389574
15,90.0,0.770981838444025
15,90.0,0.7709849282373437
20,88.0,0.8176025902696267
20,89.0,0.8061230191781078
20,84.0,0.7828631888126119
20,87.0,0.7931868015222809
20,88.0,0.7939229985101013
25,86.0,0.8223077632406423
25,90.0,0.7715263576158857
25,90.0,0.8135690253492476
25,87.0,0.8122850238901022
25,87.0,0.79706343540547
50,91.0,0.7977756104551801
50,88.0,0.8282934402476526
50,89.0,0.7978361549482648
50,88.0,0.7968811067960094
50,87.0,0.7953332554953546
100,87.0,0.7792188976176783
100,86.0,0.7789186906951919
100,85.0,0.7938570743530944
100,82.0,0.7683878758259058
100,90.0,0.7667978494627044
