epoch,loss,accuracy
0,2.278719302195652,0.1144
0,2.2821098194000826,0.1126
0,2.2792182864656874,0.1162
0,2.2780532685055097,0.1197
1,1.6103550408296525,0.9292
1,1.6096059767303952,0.9317
1,1.6097542146208939,0.9302
1,1.6108562521114471,0.9316
1,1.6109101901388472,0.9292
2,1.561998059795161,0.9347
2,1.5617496253578527,0.9383
2,1.562457931269506,0.9338
2,1.5623487818772626,0.9361
2,1.5624186711706174,0.9338
3,1.5441439425110057,0.939
3,1.544351208741498,0.9395
3,1.544321612947306,0.9407
3,1.5442883155907794,0.9411
3,1.5445543208699317,0.9391
4,1.535947126188096,0.941
4,1.535591272032185,0.9391
4,1.5354686216184288,0.9416
4,1.5356353202443214,0.9416
4,1.536764163879832,0.938
5,1.5289710547514022,0.9444
5,1.5293364304645805,0.9414
5,1.5294943296225967,0.9423
5,1.5286938324096098,0.9429
5,1.529071157904947,0.9434
6,1.5256581124226758,0.943
6,1.5253196947134224,0.9414
6,1.5256183132244523,0.943
6,1.5261348683363314,0.9418
6,1.5255640114948248,0.9439
7,1.5225839873028408,0.9427
7,1.5225764368749728,0.9434
7,1.5225346551579275,0.9436
7,1.5229172706604004,0.9436
7,1.5231301078371182,0.9433
8,1.520592423760967,0.9426
8,1.5206881738772058,0.9437
8,1.5207908107976245,0.9427
8,1.5204329414732138,0.9417
8,1.520487595515646,0.946
9,1.518823499132873,0.9428
9,1.5185340111422692,0.9431
9,1.5184222801475769,0.9454
9,1.5183411092515204,0.9442
9,1.5180444163121996,0.9466
10,1.5171447749350482,0.9442
10,1.5167883520673036,0.9439
10,1.51741815980073,0.9449
10,1.5169637704351147,0.9446
10,1.516913296310765,0.9443
