epoch,loss,accuracy
0,4.66278188547511,0.0087
0,4.66278188547511,0.0087
1,0.9925112154833071,0.7466
2,0.7518807296540327,0.7866
3,0.664656078549707,0.8031
4,0.6155167571298635,0.8148
5,0.5872566906889533,0.8221
6,0.5703967640734022,0.8284
7,0.5557084041795913,0.8324
8,0.552678535603414,0.8306
9,0.5513735172475219,0.8339
10,0.5505526656178152,0.8369
11,0.5567026181015998,0.8375
12,0.5672261009740222,0.837
13,0.5789424666933193,0.8357
14,0.5918593419015787,0.8349
12,0.5734367742659939,0.8351
13,0.5856389006611648,0.8348
14,0.5976785664345808,0.8328
12,0.5565999488162386,0.8401
13,0.5574640073594014,0.8403
14,0.5529740459410248,0.84
14,0.5641133949493828,0.8367
15,0.5645905851889342,0.8403
