epoch,loss,accuracy
0,2.303007257971794,0.1129
0,2.3026512124735836,0.1194
0,2.301346889726675,0.1208
0,2.3021527870445495,0.1188
1,1.590210944224315,0.9002
1,1.5915508551202762,0.8991
1,1.5910954080569517,0.8979
1,1.59141403550555,0.8978
1,1.591429783280488,0.8963
2,1.5561426171831265,0.9111
2,1.5562452351211742,0.9098
2,1.5560152811609256,0.9105
2,1.5564289024681042,0.9078
2,1.5560296196846446,0.9128
3,1.545108292512833,0.9153
3,1.5446346368000006,0.9127
3,1.5442529354885126,0.9134
3,1.544513290854776,0.9152
3,1.5445551325561135,0.9128
4,1.5373313958477821,0.9153
4,1.5373148971302495,0.9162
4,1.5378008792354803,0.9163
4,1.5379249221959692,0.9175
4,1.537307067281881,0.9172
5,1.5336189983756678,0.9165
5,1.5331769103457213,0.9208
5,1.5331519857333724,0.9184
5,1.5335133614813445,0.9184
5,1.5331852557552847,0.9166
6,1.5299473902222458,0.918
6,1.5303722263141801,0.918
6,1.5294624749262622,0.9206
6,1.5298634456221465,0.9207
6,1.529675410052014,0.9195
7,1.5267309223770336,0.9207
7,1.5269841790958574,0.9222
7,1.5270659414825924,0.9211
7,1.5271293205820071,0.9196
7,1.526986190467883,0.9197
8,1.5264552398851723,0.9212
8,1.5266303423863308,0.9191
8,1.5259056410212426,0.9226
8,1.5264472999390524,0.9204
8,1.526782976593941,0.9195
9,1.5235541162976793,0.9231
9,1.5238678736291873,0.9238
9,1.5244043731385735,0.9222
9,1.5240015543190537,0.9248
9,1.5240752894407625,0.9249
10,1.5222509932366146,0.9243
10,1.522413660006918,0.9248
10,1.5218459132370676,0.9232
10,1.522631648999111,0.9255
10,1.522217597171759,0.9273
